Player,RunsDescending,D,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI Number
Sachin,152,N,193,151,18,0,100.66,2,bowled,1,v Namibia,Pietermaritzburg,23-Feb-03,ODI # 1964
Sachin,140,Y,114,101,16,3,138.61,4,not out,1,v Kenya,Bristol,23-May-99,ODI # 1457
Sachin,137,N,198,137,8,5,100,2,run out,1,v Sri Lanka,Delhi,02-Mar-96,ODI # 1070
Sachin,127,Y,175,138,15,1,92.02,2,not out,2,v Kenya,Cuttack,18-Feb-96,ODI # 1052
Sachin,120,N,170,115,10,5,104.34,2,caught,1,v England,Bengaluru,27-Feb-11,ODI # 3110
Sachin,111,N,184,101,8,3,109.9,2,caught,1,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Sachin,98,N,145,75,12,1,130.66,1,caught,2,v Pakistan,Centurion,01-Mar-03,ODI # 1975
Sachin,97,N,160,120,7,1,80.83,1,caught,1,v Sri Lanka,Johannesburg,10-Mar-03,ODI # 1985
Sachin,90,N,124,84,14,1,107.14,2,stumped,2,v Australia,Mumbai,27-Feb-96,ODI # 1065
Sachin,85,N,160,115,11,0,73.91,2,caught,1,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Sachin,84,N,122,107,6,0,78.5,4,caught,1,v New Zealand,Dunedin,12-Mar-92,ODI # 740
Sachin,83,N,166,101,5,1,82.17,2,caught,1,v Kenya,Durban,20-Mar-03,ODI # 1992
Sachin,81,N,88,77,8,1,105.19,4,caught,1,v Zimbabwe,Hamilton,07-Mar-92,ODI # 732
Sachin,81,N,122,91,10,0,89.01,2,bowled,1,v Zimbabwe,Harare,19-Feb-03,ODI # 1957
Sachin,70,N,137,91,8,0,76.92,2,run out,2,v West Indies,Gwalior,21-Feb-96,ODI # 1056
Sachin,65,N,96,88,9,0,73.86,1,stumped,2,v Sri Lanka,Kolkata,13-Mar-96,ODI # 1081
Sachin,57,Y,46,29,2,4,196.55,6,not out,1,v Bermuda,Port of Spain,19-Mar-07,ODI # 2542
Sachin,54,Y,91,62,3,0,87.09,5,not out,1,v Pakistan,Sydney,04-Mar-92,ODI # 729
Sachin,53,N,93,68,7,0,77.94,2,caught,2,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Sachin,52,N,91,72,7,0,72.22,2,caught,1,v Netherlands,Paarl,12-Feb-03,ODI # 1948
Sachin,50,N,78,52,8,1,96.15,2,caught,1,v England,Durban,26-Feb-03,ODI # 1969
Sachin,45,N,92,65,5,0,69.23,1,caught,1,v Pakistan,Manchester,08-Jun-99,ODI # 1476
Sachin,38,N,91,56,4,0,67.85,2,lbw,2,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
Sachin,36,N,127,59,3,0,61.01,2,lbw,1,v Australia,Centurion,15-Feb-03,ODI # 1951
Sachin,35,N,51,44,5,0,79.54,4,caught,2,v England,Perth,22-Feb-92,ODI # 715
Sachin,31,N,103,59,3,0,52.54,2,bowled,1,v Pakistan,Bengaluru,09-Mar-96,ODI # 1078
Sachin,28,N,71,46,5,0,60.86,2,caught,1,v South Africa,Hove,15-May-99,ODI # 1444
Sachin,28,N,46,29,4,0,96.55,2,run out,1,v Bangladesh,Dhaka,19-Feb-11,ODI # 3100
Sachin,27,N,45,22,6,0,122.72,2,caught,2,v Netherlands,Delhi,09-Mar-11,ODI # 3124
Sachin,22,N,49,40,2,0,55,4,caught,1,v England,Birmingham,29-May-99,ODI # 1467
Sachin,18,N,21,14,2,0,128.57,2,caught,2,v Sri Lanka,Mumbai,02-Apr-11,ODI # 3148
Sachin,16,N,26,22,2,0,72.72,1,bowled,1,v New Zealand,Nottingham,12-Jun-99,ODI # 1480
